Seafood Item Category ,Taxon (common name),Location of Study,"Mean Hg Concentration
(ppm, wet weight)",Number of Samples,Data Source (See Supplemental Material for References)
Shark,shark-thresher,Thailand-Andaman Sea,0.216,1,(Menasveta and Siriyong 1977)
Shark,shark-thresher,US-Hawaii,0.980,10,(Kaneko and Ralston 2007)
Shark,shark-thresher,US-California,0.130,38,(Suk et al. 2009)
Shark,shark-thresher,"(market, US)",0.749,55,(USFDA 2011)
Shark,shark-thresher (bigeye),US-California,0.460,2,(Suk et al. 2009)
Shark,shark-thresher (pelagic),Mexico-Gulf of California,1.300,13,(Garcia-Hernandez et al. 2007)
Shark,shark-tiger,US-Atlantic,0.245,4,(Hueter et al. 1995)
Shark,shark-tiger,US-Hawaii,0.470,13,(Thieleke 1973)
Shark,shark-tiger,US,2.175,2,(USEPA 2011a)
Shark,shark-whitenose,Mexico-Gulf of California,1.020,1,(Garcia-Hernandez et al. 2007)
Sheepshead,sheephead-California,US,0.168,4,(USEPA 2011a)
Sheepshead,sheepshead,US,0.134,100,(USEPA 2011a)
Sheepshead,sheepshead,US-Gulf,0.128,59,(Hall et al. 1978)
Sheepshead,sheepshead,US-Florida,0.197,177,(Adams et al. 2003)
Shrimp,prawn,"(market, Canada)",0.040,18,(Health Canada 2007)
Shrimp,prawn,"(market, Germany)",0.041,1,(Poperechna and Heumann 2005)
Shrimp,prawn,"(market, Japan)",0.230,22,(Nakagawa et al. 1997)
Shrimp,prawn-banana,Indonesia,0.003,20,(Soegianto et al. 2010)
Shrimp,prawn-banana,Thailand,0.010,50,(Panutrakul et al. 2007)
Shrimp,prawn-Kuruma,"(market, Japan)",0.021,10,(Japanese Ministry of Health 2003)
Shrimp,prawns,"(market, UK)",0.037,28,(Knowles et al. 2003)
Shrimp,prawns,"(market, UK)",0.030,24,(Food Standards Agency 2006)
Shrimp,prawn-speckled,India,0.052,4,(Deshpande et al. 2009)
Shrimp,shrimp,"(market, Canada)",0.050,15,(Health Canada 2007)
Shrimp,shrimp,"(market, Denmark)",0.025,25,(Petersen and Mortensen 1994)
Shrimp,shrimp,"(market, Japan)",0.015,57,(Japanese Ministry of Health 2003)
Shrimp,shrimp,"(market, Malaysia)",0.072,5,(Rahman et al. 1997)
Shrimp,shrimp,"(market, Spain)",0.120,3,(Domingo et al. 2007)
Shrimp,shrimp,"(market, US)",0.012,38,(USFDA 2011)
Shrimp,shrimp,"(market, US)",0.025,52,(USFDA 2008)
Shrimp,shrimp,"(market, US-NC)",0.011,1,(Levine et al. 2005)
Shrimp,shrimp,US-Gulf,0.038,79,(USEPA 2011c)
Shrimp,shrimp,US,0.072,43,(USEPA 2011a)
Shrimp,shrimp,"(market, US-NJ)",0.020,24,(Burger and Gochfeld 2005)
Shrimp,shrimp/prawn,"(market, Spain)",0.148,1,(Bordajandi et al. 2004)
Shrimp,shrimp-Alaska sidestripe,US,0.168,7,(Hall et al. 1978)
Shrimp,shrimp-Atlantic seabob,"(market, Brazil)",0.380,4,(Augelli et al. 2007)
Shrimp,shrimp-black tiger,"(market, Canada)",0.016,4,(Dabeka et al. 2004)
Shrimp,shrimp-Black Tiger,"(market, Japan)",0.019,21,(Japanese Ministry of Health 2003)
Shrimp,shrimp-black tiger,"(market, Poland)",0.022,6,(Kwoczek et al. 2006)
Shrimp,shrimp-blue,Mexico-Gulf of California,0.300,6,(Ruelas-Inzunza et al. 2004)
Shrimp,shrimp-brown,US,0.083,53,(Hall et al. 1978)
Shrimp,shrimp-brown,US-Florida,0.028,2,(Kannan et al. 1998)
Shrimp,shrimp-brown,US-Gulf,0.051,9,(USEPA 2011c)
Shrimp,shrimp-brown,US-Gulf,0.030,3,(USEPA 2006b)
Shrimp,shrimp-brown,US-Louisiana,0.020,1,(Mueller et al. 1989)
Shrimp,shrimp-brown,Mexico-Gulf of California,0.130,4,(Ruelas-Inzunza et al. 2004)
Shrimp,shrimp-crystal,Mexico-Gulf of California,0.210,4,(Ruelas-Inzunza et al. 2004)
Shrimp,shrimp-deep water,"(market, Poland)",0.006,3,(Kwoczek et al. 2006)
Shrimp,shrimp-Mediterranean prawn,"(market, Italy)",0.032,3,(Plessi et al. 2001)
Shrimp,shrimp-Mediterranean shrimp,"(market, Italy)",0.150,3,(Plessi et al. 2001)
Shrimp,shrimp-northern,"(market, Japan)",0.025,6,(Japanese Ministry of Health 2003)
Shrimp,shrimp-Northern,Canada-Bay of Fundy,0.030,4,(Legrand et al. 2005)
Shrimp,shrimp-Northern,US,0.047,63,(Hall et al. 1978)
Shrimp,"shrimp-Northern (big salad, Greenland, cold water salad)","(market, Poland)",0.048,9,(Kwoczek et al. 2006)
Shrimp,shrimp-ocean,US,0.136,10,(Hall et al. 1978)
Shrimp,shrimp-Pacific seabob,Mexico-Gulf of California,0.130,4,(Ruelas-Inzunza et al. 2004)
Shrimp,shrimp-pink,"(market, US)",0.005,1,(USFDA 2011)
Shrimp,shrimp-pink,US,0.085,48,(Hall et al. 1978)
Shrimp,shrimp-rock,"(market, US)",0.005,1,(USFDA 2011)
Shrimp,shrimp-royal red,US,0.074,11,(Hall et al. 1978)
Shrimp,shrimp-small salad,"(market, Poland)",0.008,3,(Kwoczek et al. 2006)
Shrimp,shrimp-spot,(market-US WA),0.020,5,(Bloom 1992)
Shrimp,shrimp-tiger,"(market, US-NC)",0.029,1,(Levine et al. 2005)
Shrimp,shrimp-torpedo,"(market, Poland)",0.004,3,(Kwoczek et al. 2006)
Shrimp,shrimp-white,"(market, Canada)",0.022,2,(Dabeka et al. 2004)
Shrimp,shrimp-white,US,0.064,77,(Hall et al. 1978)
Shrimp,shrimp-white,US-Atlantic,0.013,17,(USEPA 2007)
Shrimp,shrimp-white,US-Gulf,0.035,6,(USEPA 2011c)
Shrimp,shrimp-white,US-Gulf,0.060,4,(USEPA 2006b)
Shrimp,shrimp-white,US-Louisiana,0.020,1,(Mueller et al. 1989)
Shrimp,shrimp-white,US-Louisiana,0.006,2,(State of Louisiana 2011)
Shrimp,shrimp-white,Mexico-Gulf of California,0.200,4,(Ruelas-Inzunza et al. 2004)
Skate,skate,"(market, Japan)",0.086,3,(Japanese Ministry of Health 2003)
Skate,skate,"(market, Canada)",0.032,1,(Del Gobbo et al. 2010)
Skate,skate,"(market, Canada)",0.140,9,(Health Canada 2007)
Skate,skate-clearnose,US-Delaware,0.214,3,(Gerhart 1977)
Skate,skate-little,US,0.136,52,(Hall et al. 1978)
Skate,skate-winter,US,0.193,2,(Hall et al. 1978)
Smelt,smelt,US,0.125,2,(USEPA 2011a)
Smelt,smelt,"(market, Canada)",0.072,1,(Del Gobbo et al. 2010)
Smelt,smelt,Canada-Bay of Fundy,0.040,1,(Legrand et al. 2005)
Smelt,smelt,"(market, US)",0.022,7,(USFDA 2011)
Smelt,smelt-Atlantic,"(market, Canada)",0.040,9,(Health Canada 2007)
Smelt,smelt-Jack (silversides),"(market, US)",0.108,16,(USFDA 2011)
Smelt,smelt-rainbow,US,0.052,14,(USEPA 2011a)
Smelt,smelt-rainbow,Lake Michigan,0.008,74,(Knight and Olson 1974)
Smelt,smelt-rainbow,Canada-Lake Ontario,0.018,2,(Jackson et al. 2008)
Smelt,smelt-rainbow,Lake Michigan,0.030,62,(Raymond and Rossmann 2009)
Smelt,smelt-rainbow,Great Lakes,0.035,10,(USEPA 2011a)
Snapper,snapper,"(market, US)",0.139,18,(USFDA 2011)
Snapper,"snapper (gray, mangrove)","(market, Canada)",0.070,1,(Health Canada 2007)
Snapper,snapper-blackfin,US,0.262,13,(Hall et al. 1978)
Snapper,snapper-blackfin,Suriname,0.310,1,(Mol et al. 2001)
Snapper,snapper-colorado,Mexico-Sinaloa,0.106,1,(Ruelas-Inzunza et al. 2008)
Snapper,snapper-cubera,US,0.440,1,(USEPA 2011a)
Snapper,snapper-dog,Suriname,0.310,9,(Mol et al. 2001)
Snapper,snapper-gray,US,0.238,90,(USEPA 2011a)
Snapper,snapper-gray,US-Louisiana,0.121,17,(State of Louisiana 2011)
Snapper,snapper-gray,US-Louisiana,0.150,45,(Bank et al. 2007)
Snapper,snapper-gray,US-Louisiana,0.150,20,(Senn et al. 2010)
Snapper,snapper-gray,Bermuda,0.280,13,(Dewailly et al. 2008)
Snapper,snapper-gray,US-Florida Bay,0.323,146,(Evans and Crumley 2005)
Snapper,snapper-gray,US,0.236,28,(Hall et al. 1978)
Snapper,snapper-gray,US-Florida,0.195,301,(Adams et al. 2003)
Snapper,snapper-gray (HI),US-Hawaii,0.348,39,(Hall et al. 1978)
Snapper,snapper-lane,US,0.207,8,(USEPA 2011a)
Snapper,snapper-lane,Suriname,0.220,9,(Mol et al. 2001)
Snapper,snapper-lane,Bermuda,0.430,16,(Dewailly et al. 2008)
Snapper,snapper-lane,US-Florida,0.125,8,(Kannan et al. 1998)
Snapper,snapper-lane,US-Louisiana,0.049,1,(State of Louisiana 2011)
Snapper,snapper-lane,US-Florida,0.255,21,(Adams et al. 2003)
Snapper,snapper-mahogany,Suriname,0.110,1,(Mol et al. 2001)
Snapper,snapper-mutton,US,0.326,8,(USEPA 2011a)
Snapper,snapper-mutton,US-Florida,0.294,32,(Adams et al. 2003)
Snapper,snapper-queen,Bermuda,0.520,1,(Dewailly et al. 2008)
Snapper,snapper-red,"(market, US-NJ)",0.240,4,(Burger and Gochfeld 2005)
Snapper,snapper-red,US,0.174,22,(USEPA 2011a)
Snapper,snapper-red,US-Louisiana,0.060,34,(Bank et al. 2007)
Snapper,snapper-red,"(market, Canada)",0.167,1,(Del Gobbo et al. 2010)
Snapper,snapper-red,"(market, US-NYC)",0.031,5,(McKelvey et al. 2010; McKelvey unpublished data)
Snapper,snapper-red,US-Louisiana,0.063,20,(Senn et al. 2010)
Snapper,snapper-red,"(market, US-NYC)",0.040,4,(McKelvey et al. 2010; McKelvey unpublished data)
Snapper,snapper-red,Bermuda,0.100,2,(Dewailly et al. 2008)
Snapper,snapper-red,"(market, US)",0.177,49,(USFDA 2011)
Snapper,snapper-red,"(market, US-WA)",0.223,27,(USEPA 2005)
Snapper,snapper-red,US,0.292,38,(Hall et al. 1978)
Snapper,snapper-red,US-Louisiana,0.041,3,(State of Louisiana 2011)
Snapper,snapper-red,US-Louisiana,0.357,25,(State of Louisiana 2011)
Snapper,snapper-red,US-Florida,0.776,5,(Adams et al. 2003)
Snapper,snapper-red (HI),US-Hawaii,0.510,40,(Hall et al. 1978)
Snapper,snapper-ruby,"(market, Japan)",0.110,2,(Japanese Ministry of Health 2003)
Snapper,snapper-southern red,Suriname,0.130,4,(Mol et al. 2001)
Snapper,snapper-vermillion,US,0.428,2,(USEPA 2011a)
Snapper,snapper-vermillion,"(market, US-NYC)",0.033,6,(McKelvey et al. 2010; McKelvey unpublished data)
Snapper,snapper-vermillion,US,0.113,36,(Hall et al. 1978)
Snapper,snapper-vermillion,US-Florida,0.138,4,(Adams et al. 2003)
Snapper,snapper-yellowtail,US,0.143,4,(USEPA 2011a)
Snapper,snapper-yellowtail,Bermuda,0.350,6,(Dewailly et al. 2008)
Snapper,snapper-yellowtail,US,0.121,43,(Hall et al. 1978)
Snapper,snapper-yellowtail,US-Florida,0.146,34,(Adams et al. 2003)
Sole,sole,"(market, US)",0.042,1,(USFDA 2011)
Sole,sole,"(market, Japan)",0.084,11,(Japanese Ministry of Health 2003)
Sole,"sole (Dover, petrale)","(market, Canada)",0.080,11,(Health Canada 2007)
Sole,sole-common,Spain,0.100,8,(Nadal et al. 2008)
Sole,sole-common,"(market, Portugal)",0.254,6,(Carvalho et al. 2005)
Sole,sole-common,"(market, Italy)",0.057,3,(Plessi et al. 2001)
Sole,sole-common,"(market, Spain)",0.056,1,(Sahuquillo et al. 2007)
Sole,sole-common,North Sea,0.086,16,(Baeyens et al. 2003)
Sole,sole-Dover,"(market, US)",0.090,1,(USFDA 2011)
Sole,sole-Dover,US,0.105,70,(Hall et al. 1978)
Sole,sole-Dover (Pacific),US-Washington (Puget Sound),0.109,10,(Bloom 1992)
Sole,sole-Dover (Pacific),"(market, US-NYC)",0.056,3,(McKelvey et al. 2010; McKelvey unpublished data)
Sole,sole-English,US-Pacific,0.013,46,(USEPA 2004)
Sole,sole-English,US-California,0.056,3,(Meador et al. 2005)
Sole,sole-English,US-Washington,0.060,507,(USEPA 2011a)
Sole,sole-English,US,0.090,72,(Hall et al. 1978)
Sole,sole-English,US-Washington,0.014,28,(Lower Duwamish Waterway Group 2005)
Sole,sole-English,US-California,0.018,8,(San Francisco Public Utilities Commission 2006)
Sole,sole-fantail,US,0.024,2,(USEPA 2011a)
Sole,sole-flathead,US-Alaska,0.055,12,(Meador et al. 2005)
Sole,sole-flathead,US-Alaska,0.276,39,(Burger et al. 2007c)
Sole,sole-lemon,North Sea,0.049,20,(Baeyens et al. 2003)
Sole,sole-lemon,Scotland,0.041,1,(Davies 2012)
Sole,sole-lemon,Norway,0.070,13,(Green and Knutzen 2003)
Sole,sole-little,"(market, Spain)",0.069,1,(Bordajandi et al. 2004)
Sole,sole-Northern rock,US-Alaska,0.068,15,(Burger et al. 2007b)
Sole,sole-petrale,"(market, US)",0.080,1,(USFDA 2011)
Sole,sole-petrale,US,0.154,73,(Hall et al. 1978)
Sole,sole-rex,"(market, US)",0.100,1,(USFDA 2011)
Sole,sole-rex,US,0.132,61,(Hall et al. 1978)
Sole,sole-rex,"(market, US-NYC)",0.142,5,(McKelvey et al. 2010; McKelvey unpublished data)
Sole,sole-rock,US-Alaska,0.092,27,(Burger et al. 2007b)
Sole,sole-rock,US,0.112,10,(Hall et al. 1978)
Sole,sole-sand,North Sea,0.308,9,(Baeyens et al. 2003)
Sole,sole-tongue,"(market, China)",0.050,3,(Cheung et al. 2008)
Sole,sole-yellowfin,"(market, US)",0.080,3,(USFDA 2011)
Squid,cuttlefish,"(market, Spain)",0.020,3,(Domingo et al. 2007)
Squid,cuttlefish,"(market, Italy)",0.074,3,(Plessi et al. 2001)
Squid,cuttlefish,Mediterannean,0.270,28,(Storelli et al. 2010)
Squid,cuttlefish,"(market, Spain)",0.083,1,(Bordajandi et al. 2004)
Squid,cuttlefish,Bahrain,0.074,1,(Madany et al. 1996)
Squid,cuttlefish-common,"(market, Japan)",0.060,12,(Japanese Ministry of Health 2003)
Squid,cuttlefish-common,"(market, Japan)",0.150,20,(Nakagawa et al. 1997)
Squid,cuttlefish-common,Portugal,0.150,12,(Lourenco et al. 2009)
Squid,cuttlefish-common,Adriatic sea,0.160,4,(Storelli et al. 2006)
Squid,cuttlefish-common,NE Atlantic-Europe,0.169,23,(Bustamante et al. 2006)
Squid,cuttlefish-elegant,NE Atlantic-Europe,0.047,14,(Bustamante et al. 2006)
Squid,cuttlefish-golden,"(market, Japan)",0.021,7,(Japanese Ministry of Health 2003)
Squid,cuttlefish-golden,Spain,0.120,8,(Nadal et al. 2008)
Squid,cuttlefish-pink,NE Atlantic-Europe,0.024,15,(Bustamante et al. 2006)
Squid,cuttlefish-pink,Adriatic sea,0.160,5,(Storelli et al. 2006)
Squid,squid,"(market, Italy)",0.089,3,(Plessi et al. 2001)
Squid,squid,"(market, Poland)",0.008,9,(Kwoczek et al. 2006)
Squid,squid,"(market, Spain)",0.060,3,(Domingo et al. 2007)
Squid,squid,"(market, UK)",0.011,9,(Knowles et al. 2003)
Squid,squid,"(market, Malaysia)",0.068,5,(Rahman et al. 1997)
Squid,squid,"(market, Japan)",0.029,12,(Japanese Ministry of Health 2003)
Squid,squid-arrow/spear,US,0.010,1,(Yamashita et al. 2005)
Squid,squid-Atlantic longfinned,US,0.063,210,(Hall et al. 1978)
Squid,squid-Atlantic longfinned,US,0.095,4,(USEPA 2011a)
Squid,squid-bigfin reef,"(market, Japan)",0.046,3,(Japanese Ministry of Health 2003)
Squid,squid-Indian,India-Bay of Bengal,0.018,28,(Jasmine et al. 1989)
Squid,squid-Japanese common,"(market, Japan)",0.064,21,(Japanese Ministry of Health 2003)
Squid,squid-Japanese flying,"(market, Japan)",0.060,1,(Japanese Ministry of Health 2003)
Squid,squid-Japanese Flying,"(market, Korea)",0.024,15,(Oh et al. 2008)
Squid,squid-lesser flying,NE Atlantic-Europe,0.056,9,(Bustamante et al. 2006)
Squid,squid-longfin,US-Rhode Island,0.033,62,(Payne and Taylor 2010)
Squid,squid-market (raw),US-California,0.011,84,(Falandysz 1990)
Squid,squid-market (tinned),US-California,0.014,75,(Falandysz 1990)
Squid,squid-neon flying,"(market, Japan)",0.044,2,(Japanese Ministry of Health 2003)
Squid,squid-Pacific,US,0.053,49,(Hall et al. 1978)
Squid,squid-shortfin,NE Atlantic-Europe,0.039,22,(Bustamante et al. 2006)
Squid,squid-shortfinned,US,0.072,82,(Hall et al. 1978)
Squid,squid-sparkling enop,"(market, Japan)",0.020,2,(Japanese Ministry of Health 2003)
Squid,squid-spear,"(market, Japan)",0.021,10,(Japanese Ministry of Health 2003)
Squid,squid-swordtip,"(market, Japan)",0.023,7,(Japanese Ministry of Health 2003)
Swordfish,swordfish,"(market, Spain)",1.930,3,(Domingo et al. 2007)
Swordfish,swordfish,"(market, Italy)",0.579,3,(Plessi et al. 2001)
Swordfish,swordfish,Spain-Mediterranean Sea,0.347,3,(Pastor et al. 1994)
Swordfish,swordfish,Mediterannean,0.490,162,(Storelli and Marcotrigiano 2001)
Swordfish,swordfish,(market-US WA),0.428,10,(Bloom 1992)
Swordfish,swordfish,market (Spain),0.958,27,(Torres-Escribano et al. 2010)
Swordfish,swordfish,US,0.661,50,(USEPA 2011a)
Swordfish,swordfish,"(market, US) - Pacific Ocean",1.037,20,(Butala et al. 2007)
Swordfish,swordfish,"(market, Japan)",1.600,5,(Endo and Haraguchi 2010)
Swordfish,swordfish,US-Louisiana,0.325,2,(State of Louisiana 2011)
Swordfish,swordfish,Indian and Atlantic oceans,1.013,56,(Chen et al. 2007)
Swordfish,swordfish,Atlantic-from Asia,0.340,7,(Yamashita et al. 2005)
Swordfish,swordfish,"(market, US-Chicago)",1.400,18,(Burger and Gochfeld 2006)
Swordfish,swordfish,Italy,0.150,1,(Papetti and Rossi 2009)
Swordfish,swordfish,"(market, Spain)",0.479,2,(Sahuquillo et al. 2007)
Swordfish,swordfish,Bermuda,3.310,1,(Dewailly et al. 2008)
Swordfish,swordfish,Portugal-Azores,1.067,136,(Monteiro and Lopes 1990)
Swordfish,swordfish,"Madrid, Spain (market)",0.930,37,(Herreros et al. 2008)
Swordfish,swordfish,US-Hawaii,1.070,50,(Kaneko and Ralston 2007)
Swordfish,swordfish,"(market, US)",1.070,20,(Kamps et al. 1972)
Swordfish,swordfish,"(market, Canada)",1.080,10,(Forsyth et al. 2004)
Swordfish,swordfish,"(market, Canada)",0.721,31,(Health Canada 2007)
Swordfish,swordfish,Canada-Atlantic,1.318,47,(Freeman et al. 1978)
Swordfish,swordfish,North Atlantic off East coast of North America,0.581,3,(Freeman and Horne 1973)
Swordfish,swordfish,Mexico-Baja,0.520,6,(Miller et al. 1972)
Swordfish,swordfish,"(market, Korea)",0.410,15,(Oh et al. 2008)
Swordfish,swordfish,"(market, Spain)",0.680,24,(Blanco et al. 2008)
Swordfish,swordfish,US-Pacific,1.280,3,(Shomura and Craig 1974)
Swordfish,swordfish,Madagascar,0.521,44,(Kojadinovic et al. 2006)
Swordfish,swordfish,Madagascar,0.505,48,(Kojadinovic et al. 2007)
Swordfish,swordfish,"(market, UK)",1.400,13,(Knowles et al. 2003)
Swordfish,swordfish,"(market, US-NC)",1.361,2,(Levine et al. 2005)
Swordfish,swordfish,"(market, Japan)",1.820,34,(Nakagawa et al. 1997)
Swordfish,swordfish,"(market, Fiji)",1.810,5,(Kumar et al. 2004)
Swordfish,swordfish,"(market, US)",0.995,636,(USFDA 2011)
Swordfish,swordfish (SW Atlantic),Southwest Atlantic-Uruguay,0.620,192,(Mendez et al. 2001)
Tilapia,tilapia,"(market, US)",0.015,32,(USFDA 2011)
Tilapia,tilapia,"(market, Canada)",0.022,1,(Del Gobbo et al. 2010)
Tilapia,tilapia,"(market, Brazil)",0.150,4,(Augelli et al. 2007)
Tilapia,tilapia,"(market, US-NYC)",0.002,15,(McKelvey et al. 2010; McKelvey unpublished data)
Tilapia,tilapia,"(market, Philippines)",0.009,30,(Africa et al. 2009)
Tilapia,tilapia,"(market, China)",0.070,3,(Cheung et al. 2008)
Tilapia,tilapia,"(market, Hong Kong)",0.013,4,(Chung et al. 2008)
Tilapia,tilapia,"(market, Canada)",0.023,23,(Dabeka et al. 2004)
Tilapia,tilapia,"(market, US-NC)",0.024,2,(Levine et al. 2005)
Tilapia,tilapia (farmed),China,0.018,15,(Cheung et al. 2008)
Tilefish,tilefish,"(market, Canada)",0.080,1,(Health Canada 2007)
Tilefish,tilefish-Atlantic,"(market, US-NYC)",0.229,15,(McKelvey et al. 2010; McKelvey unpublished data)
Tilefish,tilefish-Atlantic,"(market, US)",0.151,21,(USFDA 2011)
Tilefish,tilefish-Golden (Atlantic),"(market, US)",0.131,11,(USFDA 2011)
Tilefish,tilefish-Gulf,US-Gulf,1.450,60,(Hall et al. 1978)
Tilefish,tilefish-Gulf,"(market, US)",1.123,1,(USFDA 2011)
Trout (freshwater),trout,"(market, Canada)",0.039,7,(Dabeka et al. 2004)
Trout (freshwater),trout,"(market, Canada)",0.130,4,(Health Canada 2007)
Trout (freshwater),trout,"(market, Japan)",0.078,4,(Japanese Ministry of Health 2003)
Trout (freshwater),"trout (smoked rainbow, brook, brown, char, steelhead, etc.)","(market, US)",0.035,1,(USFDA 2011)
Trout (freshwater),trout (smoked),"(market, UK)",0.071,9,(Knowles et al. 2003)
Trout (freshwater),trout-freshwater,"(market, US)",0.106,19,(USFDA 2011)
Trout (freshwater),trout-lake (wild),Lake Michigan,0.183,60,(Raymond and Rossmann 2009)
Trout (freshwater),trout-lake (wild),Canada-Lake Ontario,0.047,2,(Jackson et al. 2008)
Trout (freshwater),trout-lake (wild),Great Lakes,0.167,4,(Dellinger et al. 1996)
Trout (freshwater),trout-lake (wild),Canada-Ontario Lakes,0.440,7,(Kidd et al. 1995)
Trout (freshwater),trout-lake (wild),"(market, Canada)",0.230,70,(Health Canada 2007)
Trout (freshwater),trout-lake (wild),US,0.209,422,(USEPA 2011a)
Trout (freshwater),trout-lake (wild),US-Michigan,0.251,49,(State of Michigan 2011)
Trout (freshwater),trout-lake (wild),Canada-NWNWT,0.365,45,(Braune et al. 1999)
Trout (freshwater),trout-lake (wild),Northern Canada - lakes and river systems,0.384,1855,(Lockhart et al. 2005)
Trout (freshwater),"trout-lake, wild",Great Lakes,0.230,14,(Cappon 1984)
Trout (freshwater),trout-lake/siscowet (wild),Great Lakes,0.440,220,(USEPA 2011a)
Trout (freshwater),trout-steelhead (wild),US-Pacific NW,0.042,9,(Hall et al. 1978)
Trout (freshwater),trout-red ruby,"(market, Canada)",0.135,1,(Dabeka et al. 2004)
Trout (freshwater),trout-steelhead,"(market, Canada)",0.030,2,(Health Canada 2007)
"Trout (freshwater, farmed)",trout (farmed),"(market, UK)",0.060,14,(Knowles et al. 2003)
"Trout (freshwater, farmed)",trout-farmed,"(market, Canada)",0.021,37,(Dewailly et al. 2007)
"Trout (freshwater, farmed)",trout-farmed,"(market, US)",0.033,13,(USFDA 2011)
"Trout (freshwater, farmed)",trout-farmed (rainbow),"(market, Canada)",0.037,10,(Dabeka et al. 2004)
"Trout (freshwater, farmed)",trout-rainbow (farmed),US,0.010,33,(Santerre et al. 2001)
"Trout (freshwater, farmed)",trout-rainbow (farmed),"(market, Canada)",0.040,32,(Health Canada 2007)
"Trout (freshwater, farmed)",trout-rainbow (farmed),"(market, US)",0.027,27,(Cizdziel et al. 2002)
"Trout (freshwater, farmed)",trout-rainbow (farmed),"Italy (lab, under commercial conditions)",0.037,10,(Ciardullo et al. 2008)
"Trout (freshwater, farmed)",trout-rainbow (farmed),"(market, US)",0.005,2,(USFDA 2011)
Tuna (fresh/frozen),tuna,Bermuda,0.350,5,(Dewailly et al. 2008)
Tuna (fresh/frozen),tuna,"(market, Brazil)",0.070,3,(Duarte et al. 2009)
Tuna (fresh/frozen),tuna,"(market, Spain)",0.310,6,(Cabanero et al. 2005)
Tuna (fresh/frozen),tuna,"(market, Italy)",0.582,6,(Gawlik et al. 1997)
Tuna (fresh/frozen),tuna,"(market, Germany)",1.082,1,(Poperechna and Heumann 2005)
Tuna (fresh/frozen),tuna,"(market, Spain)",0.355,2,(Perello et al. 2008)
Tuna (fresh/frozen),tuna,"(market, Spain)",0.296,1,(Bordajandi et al. 2004)
Tuna (fresh/frozen),tuna,"(market, Spain)",0.480,3,(Domingo et al. 2007)
Tuna (fresh/frozen),tuna,"(market, Spain)",0.370,5,(Cabanero et al. 2007)
Tuna (fresh/frozen),tuna,"(market, Canada)",0.697,17,(Dabeka et al. 2004)
Tuna (fresh/frozen),tuna,"(market, UK)",0.110,12,(Food Standards Agency 2006)
Tuna (fresh/frozen),tuna,"(market, US)",0.415,120,(USFDA 2011)
Tuna (fresh/frozen),tuna,"(market, US-NC)",0.083,2,(Levine et al. 2005)
Tuna (fresh/frozen),tuna,"(market, Japan)",0.290,1,(Japanese Ministry of Health 2003)
Tuna (fresh/frozen),tuna (fresh),"(market, Spain)",0.430,5,(Cabanero et al. 2004)
Tuna (fresh/frozen),tuna (steak),"(market, US-Chicago)",0.340,18,(Burger and Gochfeld 2006)
Tuna (fresh/frozen),tuna-albacore,"(market, Canada)",0.242,27,(Health Canada 2007)
Tuna (fresh/frozen),tuna-albacore,"(market, Canada)",0.260,16,(Dabeka et al. 2004)
Tuna (fresh/frozen),tuna-albacore,"(market, Japan)",0.120,1,(Japanese Ministry of Health 2003)
Tuna (fresh/frozen),tuna-albacore,Marshall Islands,0.030,1,(Yamashita et al. 2005)
Tuna (fresh/frozen),tuna-albacore,"(market, US)",0.358,43,(USFDA 2011)
Tuna (fresh/frozen),tuna-albacore,Azores,0.341,46,(Andersen and Depledge 1997)
Tuna (fresh/frozen),tuna-albacore,Fiji,0.340,31,(Kumar et al. 2004)
Tuna (fresh/frozen),tuna-albacore,US,0.154,39,(Hall et al. 1978)
Tuna (fresh/frozen),tuna-albacore,US-California,0.130,1,(Miller et al. 1972)
Tuna (fresh/frozen),tuna-albacore,US-California,0.270,2,(Miller et al. 1972)
Tuna (fresh/frozen),tuna-albacore,US-Hawaii,0.500,20,(Kaneko and Ralston 2007)
Tuna (fresh/frozen),tuna-albacore (filet),"(market, Japan)",0.400,34,(Endo and Haraguchi 2010)
Tuna (fresh/frozen),tuna-albacore (fresh),US-Hawaii,0.426,20,"(State of Hawaii Department of Health, unpublished data)"
Tuna (fresh/frozen),tuna-albacore (frozen/fresh),"(market, Spain)",0.180,15,(Blanco et al. 2008)
Tuna (fresh/frozen),tuna-Atlantic bonito,"(market, Turkey)",0.326,120,(Ozden 2010)
Tuna (fresh/frozen),tuna-Atlantic bonito,US-Gulf,1.662,15,(Hall et al. 1978)
Tuna (fresh/frozen),tuna-Atlantic bonito,Italy-Adriatic Sea,0.340,45,(Storelli et al. 1998)
Tuna (fresh/frozen),tuna-Atlantic bonito (dark muscle),Italy,0.380,15,(Capelli et al. 2004)
Tuna (fresh/frozen),tuna-Atlantic bonito (dark muscle),Italy,0.770,27,(Capelli et al. 1987)
Tuna (fresh/frozen),tuna-Atlantic bonito (white muscle),Italy,0.390,15,(Capelli et al. 2004)
Tuna (fresh/frozen),tuna-Atlantic bonito (white muscle),Italy,0.750,26,(Capelli et al. 1987)
Tuna (fresh/frozen),tuna-bigeye,"(market, US)",0.689,21,(USFDA 2011)
Tuna (fresh/frozen),tuna-bigeye,Atlantic-from Asia,0.190,7,(Yamashita et al. 2005)
Tuna (fresh/frozen),tuna-bigeye,Pacific,0.690,30,(Yamashita et al. 2005)
